,match_date,home_team,away_team,home_team_avg_home_goals,home_team_avg_total_goals,away_team_avg_away_goals,away_team_avg_total_goals,home_team_form_score,away_team_form_score,odds_home_team,odds_away_team,odds_draw
206,2024-03-02,Valencia,Real Madrid,1.3,1.2,1.8,2.1,0.5,3.0,6.6,1.66,4.2
207,2024-03-02,Sevilla,Real Sociedad,1.3,1.2,1.2,1.3,0.0,-0.5,2.92,3.15,2.96
208,2024-03-02,Getafe,Las Palmas,1.2,1.3,0.7,1.0,0.0,0.0,2.12,4.5,3.35
209,2024-02-29,Athletic Bilbao,Atletico Madrid,2.6,1.8,1.5,2.0,0.0,1.0,2.76,2.8,3.6
210,2024-02-27,Real Sociedad,Mallorca,1.5,1.3,0.8,0.9,-0.5,-1.0,1.55,9.8,4.0
211,2024-02-26,Girona,Rayo Vallecano,2.5,2.2,0.8,0.9,-1.0,-3.0,1.69,6.2,4.2
212,2024-02-25,Real Madrid,Sevilla,2.5,2.1,1.1,1.2,2.5,1.0,1.31,12.5,6.6
213,2024-02-25,Las Palmas,Osasuna,1.3,1.0,1.3,1.2,0.5,1.0,2.52,3.5,3.15
214,2024-02-25,Betis,Athletic Bilbao,1.2,1.1,0.9,1.8,1.5,2.0,4.2,2.16,3.35
215,2024-02-24,Barcelona,Getafe,2.2,2.1,1.5,1.3,2.5,0.5,1.43,9.0,5.3
216,2024-02-24,Alaves,Mallorca,1.1,1.0,0.8,0.9,0.5,-1.5,1.95,5.7,3.2
217,2024-02-23,Real Sociedad,Villarreal,1.5,1.4,1.3,1.4,0.0,0.0,1.67,6.2,4.2
218,2024-02-19,Athletic Bilbao,Girona,2.6,1.8,1.8,2.2,1.5,1.0,1.89,4.7,3.95
219,2024-02-18,Rayo Vallecano,Real Madrid,0.9,0.9,1.8,2.2,-3.0,3.5,6.0,1.71,4.0
220,2024-02-18,Mallorca,Real Sociedad,0.9,0.9,1.2,1.3,-1.5,-1.0,3.95,2.5,2.92
221,2024-02-18,Betis,Alaves,1.3,1.2,0.9,1.0,1.5,1.0,2.5,3.45,3.2
222,2024-02-17,Valencia,Sevilla,1.4,1.2,1.2,1.3,0.5,0.5,2.36,3.65,3.3
223,2024-02-17,Celta Vigo,Barcelona,0.7,1.1,2.0,2.1,-1.0,2.5,4.1,2.0,3.85
224,2024-02-17,Atletico Madrid,Las Palmas,2.3,1.9,0.8,1.0,0.5,0.5,1.48,9.0,4.8
225,2024-02-16,Villarreal,Getafe,1.5,1.4,1.5,1.3,0.0,-0.5,2.1,3.95,3.7
